name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xw0_bit22_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,22,0,0,458.465,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit24_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,24,0,0,484.57,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit26_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,26,0,0,510.675,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit28_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,28,0,0,536.78,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit30_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,30,0,0,562.88,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit01_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,1,1,1,184.38,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit03_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,3,1,1,210.48,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit05_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,5,1,1,236.585,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit07_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,7,1,1,262.69,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit09_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,9,1,1,288.795,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit11_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,11,1,1,314.895,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit13_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,13,1,1,341.0,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit15_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,15,1,1,367.105,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit17_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,17,1,1,393.21,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit19_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,19,1,1,419.31,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit21_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,21,1,1,445.415,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit23_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,23,1,1,471.52,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit25_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,25,1,1,497.625,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit27_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,27,1,1,523.725,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit29_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,29,1,1,549.83,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit31_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,31,1,1,575.935,681.83,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit00_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,0,0,0,588.985,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit02_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,2,0,0,615.09,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit04_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,4,0,0,641.195,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit06_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,6,0,0,667.295,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit08_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,8,0,0,693.4,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit10_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,10,0,0,719.505,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit12_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,12,0,0,745.61,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit14_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,14,0,0,771.71,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit16_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,16,0,0,797.815,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit18_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,18,0,0,823.92,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit20_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,20,0,0,850.025,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit22_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,22,0,0,876.125,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit24_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,24,0,0,902.23,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit26_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,26,0,0,928.335,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit28_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,28,0,0,954.44,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw1_bit30_write_driver,detronyx_12t_write_driver_rc1,write_driver,w1,30,0,0,980.54,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
